"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",-2.27947912173754,0.852901416093361,-1.20024020705712,"Panulirus interruptus",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.780672150332271,0.172499871495003,0.411056234041884,"Semicossyphus pulcher",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.496076262905758,-1.00858127741379,-0.261204707175505,"Strongylocentrotus purpuratus",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.643824431889868,0.527319082038027,-0.339000240042078,"Macrocystis pyrifera",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.558291089872927,-0.370839928474406,-0.293963391424465,"Mesocentrotus franciscanus",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.1063503169029,0.852901416093361,-0.582539283108268,"Panulirus interruptus",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.679252339241581,0.172499871495003,0.35765450120636,"Semicossyphus pulcher",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.747184589166358,-1.00858127741379,-0.393423645542027,"Strongylocentrotus purpuratus",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.10862276188155,0.686598087462992,-0.583735819547531,"Macrocystis pyrifera",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.502280036328939,-0.434237306127691,0.264471250934107,"Mesocentrotus franciscanus",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-2.86432877594715,0.958311179618907,-1.50818778305017,"Panulirus interruptus",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.686143478105081,0.143501099969373,0.361282971350049,"Semicossyphus pulcher",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.070230426281799,-1.08845742282531,-0.0369792294118156,"Strongylocentrotus purpuratus",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.10862276188155,0.686598087462992,-0.583735819547531,"Macrocystis pyrifera",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.455789864513425,-0.434237306127691,0.23999224916837,"Mesocentrotus franciscanus",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.51792696755433,0.958311179618907,-0.799251443218427,"Panulirus interruptus",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.370597849141587,0.143501099969373,0.195135123172161,"Semicossyphus pulcher",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.943124435400697,-1.08845742282531,0.496594093287029,"Strongylocentrotus purpuratus",11,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.69058672609076,0.0452381371381967,-0.363622525519017,"Semicossyphus pulcher",1,"Anacapa Island SMR 2003","PISCO","pooled"
"pooled",0.150506439987898,0.0452381371381967,0.0792478768381126,"Semicossyphus pulcher",1,"Anacapa Island SMR 2003","PISCO","pooled"
"pooled",0.488692227155443,0.0162393656125663,0.257316706397889,"Semicossyphus pulcher",2,"Anacapa Island SMR 2003","PISCO","pooled"
